,title,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,genre
1087,I LET YOU,Tama Gucci,32,0.636,0.919,8,-6.383,0,0.0504,0.000213,0.0216,0.124,0.448,130.034,3xDy0puIWGtWqdtIdaZMYN,195220,4,indie
1088,Replay,Planet 1999,36,0.724,0.673,4,-6.933,1,0.0531,0.423,0.00774,0.0762,0.649,170.014,4OaoTCoQphk9Zy9M0ABo0P,173507,4,indie
1089,"RACECAR (feat. Clairo, Coco & Clair Clair)",Deaton Chris Anthony,61,0.632,0.579,5,-11.053,1,0.102,0.0294,0.000918,0.115,0.164,104.994,4hie5sbZpqiMzzZY25dOVp,170638,4,indie
1090,Spirit,Jack Larsen,30,0.552,0.717,1,-7.888,1,0.0571,0.0161,0.188,0.0693,0.038,110.015,3bCllR1v5AhEwm9Wl8kyBT,288793,4,indie
1091,U Think U Can Fuck with Me Dont Ya,Alice Longyu Gao,32,0.491,0.754,1,-7.376,0,0.184,0.0856,0.337,0.139,0.242,74.862,03hTZiur9B8HuGGD473zew,140886,4,indie
1092,Sweat - SOPHIE Remix,SONIKKU,43,0.775,0.589,8,-9.826,0,0.0559,0.428,0.714,0.0819,0.436,126.971,2DyongA2O2BVHxmOqgCreE,258341,4,indie
1093,stardew,Purity Ring,21,0.311,0.57,10,-9.204,1,0.0937,0.0411,6.16e-06,0.179,0.0882,95.949,6G9BdVc8YCgmD2qxdz6lzj,247187,4,indie
1094,I Was on the News,The Pom-Poms,34,0.398,0.992,4,-6.439,0,0.151,0.0192,0.000136,0.114,0.0542,151.048,7xjapZs2gvMJIUKeIxVB55,183403,4,indie
1095,Boylife in EU,Yung Lean,53,0.391,0.647,5,-7.533,1,0.0376,0.105,0.0191,0.112,0.0517,144.943,2OdnXs3cf9TVqsJLdJkEhc,216360,4,indie
1096,JETAIME,Chicken,27,0.783,0.242,0,-6.258,1,0.0446,0.0256,0.364,0.143,0.209,145.976,0N37kZXCqSLae45nNLdEI2,224750,4,indie
1097,Click (feat. Kim Petras and Tommy Cash),Charli XCX,53,0.677,0.781,0,-5.722,1,0.198,0.546,0.0,0.182,0.529,135.047,3B0K8G7WESjdKxQvVMByR9,233293,4,indie
1098,Never Thought,Danny Sunshine,33,0.578,0.668,0,-6.322,1,0.0813,0.00528,0.0,0.228,0.702,171.948,1leW0BPNE0w6tiONEM3ZRY,166047,4,indie
1099,Thee Dreams Wilt,Cowgirl Clue,33,0.645,0.785,0,-6.143,1,0.192,0.146,0.000221,0.163,0.49,139.689,3ayfNuucRULFyeQHO2IMRI,237500,4,indie
1100,Anxious Alien,HANA,38,0.538,0.894,8,-8.051,1,0.055,0.0194,5.82e-06,0.193,0.136,116.97,0TTpGPHbDIPCM79MXXUZAZ,223500,4,indie
1101,"Late Night Lovin' (feat. Omar Apollo, Jean Dawson & Korbin In Orbit)",Deaton Chris Anthony,35,0.555,0.495,1,-9.833,1,0.0593,0.517,0.000913,0.0966,0.374,79.975,73oDPHaa3SvvZnYhkqxrW0,250221,4,indie
1102,Mine,Slayyyter,56,0.69,0.734,1,-6.377,1,0.0316,0.0933,0.00531,0.137,0.459,124.033,18uOcUO5mNEYHHigeXPgQM,159013,4,indie
1103,You and I,Caribou,47,0.729,0.526,9,-7.988,0,0.0312,0.0661,0.145,0.109,0.442,111.921,5IBdGT5kl3wNblGeCpVYrH,243947,4,indie
1104,Faceshopping,SOPHIE,0,0.636,0.441,1,-7.273,1,0.247,0.0528,0.00152,0.0684,0.304,114.045,5Phe35xgdkRSxTdM4MAVIk,236938,4,indie
1105,FEEL NOTHING,HEALTH,0,0.54,0.816,1,-7.334,1,0.031,4.92e-05,0.0104,0.0806,0.242,98.028,0IZbgyTkXkvqQpjhjJh11p,179373,4,indie
1106,Tomboy,Princess Nokia,57,0.623,0.785,2,-6.479,1,0.247,0.37,0.00494,0.413,0.476,75.056,6M1sRwraMMNUVCLUvo4e1B,217440,4,indie
1107,Queen Of This Shit,Quay Dash,47,0.884,0.424,9,-11.622,1,0.348,0.0258,8.54e-05,0.3,0.597,119.988,6WjMhuicOF6QPHG7lR903C,186070,4,indie
1108,Night,Planet 1999,31,0.243,0.335,6,-11.601,1,0.0364,0.367,0.0,0.138,0.0557,97.272,4tt4fA5QLQMOTfkEtMjYUj,122867,4,indie
1109,Hot Pink,Let's Eat Grandma,8,0.725,0.552,8,-6.897,1,0.0783,0.2,0.0,0.093,0.183,103.016,1MAhhW31aMIknkD19pZmrP,248977,4,indie
1110,Part of Me,Hannah Diamond,36,0.648,0.745,4,-6.337,1,0.0358,0.0647,9.93e-06,0.112,0.22,136.85,0BcSsD2wU8W0OXOGHx32By,152562,4,indie
1111,Sunny Stories,Gazelle Twin,26,0.38,0.333,4,-13.729,0,0.0532,0.909,0.0,0.197,0.22,112.935,2ohj6egOnjei04yIkiomdQ,191940,3,indie
1112,White Mercedes,Charli XCX,58,0.743,0.544,1,-5.737,1,0.0372,0.0392,0.0,0.0672,0.199,129.979,7fOFeVSyL18q7RiU6cnhiM,203133,4,indie
1113,Sense,King Gizzard & The Lizard Wizard,0,0.534,0.6,5,-9.138,0,0.28,0.505,0.316,0.188,0.653,202.086,7tUUZ74ZhKN8B1IiMREYlO,210653,4,indie
1114,Shuggie,Foxygen,63,0.467,0.645,1,-7.614,0,0.0364,0.101,0.00524,0.144,0.71,127.947,51XZD1FCrWyU3dDWJH4nzb,201707,3,indie
1115,Patience,Tame Impala,66,0.546,0.859,1,-5.966,1,0.0306,0.00223,0.000947,0.0529,0.645,99.965,2drEUEg0TYQR6dDEHkpuPE,292267,4,indie
1116,Funky I Like It,Babe Rainbow,34,0.236,0.537,11,-9.156,1,0.123,0.0185,0.742,0.113,0.342,185.501,2TzbA0Z05WAYVI1xWm9Lrt,283507,4,indie
1117,Work This Time,King Gizzard & The Lizard Wizard,0,0.526,0.489,1,-6.249,0,0.22,0.153,0.103,0.135,0.53,113.913,6ilAaPHhxDFaaNS65fzQwF,276893,1,indie
1118,Joe Frazier,Orions Belte,44,0.432,0.63,7,-9.511,0,0.0384,0.0663,0.687,0.223,0.569,133.77,7Bb8qmumwlC2nTOp09ciH6,338613,4,indie
1119,Nina,Crumb,0,0.575,0.798,7,-9.687,1,0.0445,0.652,0.79,0.0873,0.602,79.844,5eBWesgt493JjABBVdj8pr,200280,4,indie
1120,Something You Can't See,Desert Sessions,47,0.617,0.587,11,-8.202,0,0.0263,0.0534,0.056,0.101,0.587,99.049,6K0nWwBoUYSi5SkmrMM7X2,206378,4,indie
1121,Naima's Dream,The Mattson 2,0,0.618,0.736,6,-2.872,0,0.0279,0.00683,0.82,0.0978,0.423,100.026,2EXM4GiSRb60AA4BtYeQgm,200187,4,indie
1122,Sun King,The Bright Light Social Hour,40,0.556,0.683,1,-9.149,0,0.0374,0.101,0.0577,0.229,0.694,101.006,6LeELseYz1Q0T93DXCnP2d,190135,4,indie
1123,Not in Love We’re Just High,Unknown Mortal Orchestra,41,0.873,0.374,5,-5.853,1,0.118,0.686,0.000465,0.143,0.477,100.048,2GAvCh5XRUcadG2xScude5,217987,4,indie
1124,Locket,Crumb,1,0.393,0.481,1,-10.462,1,0.0273,0.758,0.73,0.0869,0.0763,98.462,26AhgCPP2OKAnF4AyBf2Kg,318379,4,indie
1125,You're Either On Something,Temples,3,0.466,0.801,0,-5.619,1,0.0492,0.000983,0.00258,0.182,0.426,93.963,5ZChGP01nfanQFCx2F4kcQ,227133,4,indie
1126,The Singer,Ty Segall,48,0.443,0.433,9,-8.531,0,0.0281,0.00137,0.0679,0.19,0.111,80.9,397B7DNRh8RwGGnSH02hfZ,254653,4,indie
1127,Shalala,Moses Gunn Collective,58,0.452,0.729,7,-5.6,1,0.0304,0.0192,0.0583,0.115,0.46,84.005,0Bl1Gt8R9kjz7JO7SYAuhe,228015,4,indie
1128,Suddenly,Drugdealer,61,0.651,0.465,4,-7.538,1,0.0328,0.503,0.0455,0.495,0.585,107.75,77iRifbhkJGvGBBRNykUwN,197040,4,indie
1129,Taxi’s Here,Tame Impala,51,0.571,0.568,7,-6.969,0,0.0316,0.621,0.513,0.0687,0.431,101.001,1T5tDibcj3AmFmPxYGm6vp,287307,4,indie
1130,Sun Kids (feat. Mikaela Davis),Spaceface,35,0.406,0.472,0,-10.631,1,0.0306,0.772,0.204,0.164,0.205,100.008,0CVTV5FDVN2ywn3Lica1Ry,350400,4,indie
1131,The Weather,Pond,0,0.385,0.788,11,-6.478,0,0.0529,0.737,0.214,0.0598,0.253,154.981,5nOu5ziA8RUJNtW9f2CSW7,238720,4,indie
1132,White Gloves,Khruangbin,1,0.635,0.3,2,-13.957,0,0.0285,0.707,0.829,0.574,0.772,91.452,0DtWgJmK3sHIBK2o8gIHtb,218307,4,indie
1133,As You Move Through The World,MGMT,51,0.204,0.517,2,-12.12,1,0.0417,0.555,0.582,0.0797,0.06,152.596,1UoNPvDGbt1kWbT0TNdNvP,455533,4,indie
1134,H.f.g.w (Canyons Drunken Rage),Tame Impala,51,0.853,0.435,5,-7.574,1,0.0478,0.0665,0.434,0.0616,0.652,110.004,2wxeIcUPu0hdlB8pFsxSAi,334707,4,indie
1135,When I Get Home,Post Animal,54,0.245,0.773,0,-5.985,1,0.0525,0.0665,0.00046,0.358,0.464,148.134,5azJUob8ahbXB3M9YFwTpd,323200,4,indie
1136,Paint Me Silver,Pond,0,0.335,0.818,8,-5.551,1,0.052,0.00546,0.00246,0.204,0.661,177.491,2HLQkvx1WUQgzSnhaulYlX,224973,4,indie
1137,49 Years,Club Kuru,36,0.382,0.69,9,-5.591,1,0.0424,0.0161,0.000526,0.104,0.369,175.938,0D0qXcu6qTrrVls156VipG,236332,4,indie
1138,Dark Love,Sam Evian,46,0.622,0.548,4,-7.348,1,0.0275,0.385,0.487,0.0634,0.741,99.629,1x3GXa11yafQ9BFGmOlI2S,287499,4,indie
1139,Ministry of Alienation,Unknown Mortal Orchestra,48,0.764,0.51,8,-7.558,0,0.129,0.779,0.189,0.39,0.391,141.932,0Qe6V0wdzCyHGht84bUunL,222640,4,indie
1140,Clear,Matty,41,0.539,0.517,6,-6.954,0,0.0302,0.706,0.00755,0.616,0.338,127.918,6P7Oj48MpnXEB6ZfKgqepg,207267,4,indie
1141,Daisy,Pond,38,0.566,0.761,8,-6.598,1,0.0586,0.291,0.00185,0.256,0.417,125.002,6LCvTzXi4uDSwE5CZjeqM3,380720,4,indie
1142,Hot Motion,Temples,3,0.451,0.923,2,-5.418,0,0.0869,7.4e-05,0.0399,0.268,0.425,139.996,0WeuLiBpprHQOpMl9TKDKC,348933,4,indie
1143,Solitude Is Bliss,Tame Impala,0,0.591,0.847,7,-4.963,1,0.0642,0.00971,0.000124,0.176,0.64,104.004,15x9Hr6w2qsXabM2pkcuhH,235840,4,indie
1144,Multi-Love,Unknown Mortal Orchestra,42,0.784,0.506,3,-5.243,0,0.0403,0.571,0.0,0.139,0.545,120.141,49UBmvRSxLa2Oq6HkYKovK,250800,4,indie
1145,Countdown,King Gizzard & The Lizard Wizard,0,0.404,0.752,9,-7.028,0,0.0365,0.309,0.00167,0.472,0.362,157.072,3Qa1jcvSxOIw2EPF77uDS1,202720,3,indie
1146,Tasmania,Pond,42,0.637,0.81,8,-6.001,1,0.044,0.091,0.00456,0.0979,0.79,141.954,2rhJ5aL37Tc40c2lWUrsJB,244253,4,indie
1147,Some Sunsick Day,Morgan Delt,0,0.487,0.637,1,-9.305,1,0.0302,0.434,0.729,0.0873,0.486,150.078,2mClGHSyhd6C0VILl231ox,311280,3,indie
1148,Powerlines,Tame Impala,53,0.554,0.885,2,-6.212,1,0.0443,0.0323,0.0238,0.345,0.367,104.945,7nmtH3cyqEmKz8F09V60yO,258707,4,indie
1149,Swim and Sleep (Like a Shark),Unknown Mortal Orchestra,58,0.766,0.806,8,-10.011,1,0.0403,0.124,0.171,0.119,0.76,123.509,3h1iu4HvBlLqRuft2kJEcr,165227,4,indie
1150,Warmth of the Sun,levitation room,47,0.347,0.737,9,-4.74,1,0.0324,6.5e-06,0.277,0.166,0.751,123.183,4OQ9QaKIGEElvMb5edFo0h,168071,4,indie
1151,Lady and Man,Khruangbin,54,0.728,0.691,7,-7.947,1,0.0578,0.000711,0.828,0.0912,0.901,82.207,0tjTndnyFm1xQsaHGf2imW,258044,4,indie
1152,Tiger,Das Kope,38,0.542,0.397,2,-9.678,1,0.0918,0.551,0.205,0.37,0.489,164.129,39UWlEnYolv3LfQoEYqJIn,180931,4,indie
1153,Waves of Confidence,Unknown Mortal Orchestra,43,0.86,0.29,9,-11.947,1,0.0563,0.859,0.946,0.0614,0.741,118.851,4uHNlL6ohghYuMKkM5UOlD,354480,4,indie
1154,Chateau (Feel Alright),Djo,46,0.641,0.365,7,-11.763,1,0.027,0.43,8.23e-06,0.297,0.348,134.881,1XzP1wolujnXlgoB2Lbwy7,272157,4,indie
1155,Low Beam,Her's,40,0.636,0.893,5,-4.579,1,0.0482,0.00199,0.83,0.107,0.569,139.97,3Bq8UbeWq9MOgwcARIMz4O,268835,4,indie
1156,Ooh Baby Baby,Howard,38,0.535,0.661,4,-6.285,1,0.0264,0.243,0.0952,0.298,0.601,138.084,3onKgZwFjumXyLfkjUWKxC,196550,4,indie
1157,Ladies and Gentlemen We Are Floating in Space,Spiritualized,36,0.378,0.409,2,-11.468,1,0.0337,0.753,0.000528,0.234,0.184,100.087,4aUCovTNe98WnwE6AIl0pU,234053,3,indie
1158,Var Har Du Varit,Dungen,30,0.173,0.859,0,-5.346,1,0.0644,0.203,0.906,0.122,0.539,169.96,30WzxVO372i0MqxjTn0BHv,207347,5,indie
1159,Friday Morning (Radio Edit),Khruangbin,0,0.399,0.223,11,-13.434,0,0.0326,0.195,0.881,0.102,0.489,76.966,6AzrimFcBW7n9f0FqjQLGI,254946,4,indie
1160,Bellyache,Yak,30,0.214,0.84,6,-3.822,1,0.0523,0.0278,5.9e-05,0.0928,0.316,167.51,62e4OXEaBAIx246KNSwezM,221893,4,indie
1161,Thick and Thin,Okey Dokey,35,0.518,0.74,0,-5.811,1,0.0328,0.0155,0.0,0.414,0.533,111.908,1OvIjyjDhkafVqrisAGWnI,262251,4,indie
1162,Shell Island,Favourite People,41,0.522,0.817,4,-9.069,1,0.0668,0.118,0.888,0.135,0.678,170.97,6zdthQLxB71PgKzTrgp36I,203680,4,indie
1163,Kids in the Sky,Das Kope,35,0.458,0.465,7,-7.578,0,0.045,0.145,0.282,0.485,0.519,173.884,0h2WwCbmMoNPKtcxo0WSnq,218276,4,indie
1164,Health Machine,Sam Evian,0,0.435,0.505,10,-5.386,1,0.0339,0.024,0.0652,0.0992,0.443,126.144,34NuXAIvnNNCJ2XqykgBlh,239322,4,indie
1165,Blue Blood,Blue Material,39,0.621,0.602,9,-7.796,0,0.0279,0.000316,0.853,0.134,0.609,116.011,2SawSPvB0js6IATRqf69qs,230152,4,indie
1166,The Clouds Cleared the Way,Shane Tyler,40,0.786,0.659,6,-8.929,0,0.0525,0.236,0.88,0.312,0.823,118.033,5Pdsyk2NuTJ56mE97DmxmN,244000,4,indie
1167,Seaquest,Sleepy Sun,0,0.298,0.752,4,-7.307,1,0.0369,0.0679,0.217,0.134,0.46,136.1,1utNSlJf6w1oYU0k6LeX7N,266947,4,indie
1168,She Believes in the Devil,SEND MEDICINE,34,0.596,0.658,7,-7.44,1,0.0337,0.258,0.000624,0.0975,0.956,88.842,03EdWn1FnvNuO2XOokZH2e,269621,4,indie
1169,Chamber Of Reflection,Mac DeMarco,74,0.537,0.558,11,-8.678,1,0.0929,0.263,0.91,0.102,0.505,131.037,1MJ5f5EYBC92ADD6xcz7nb,231724,4,indie
1170,Everyone Acts Crazy Nowadays,Unknown Mortal Orchestra,50,0.816,0.755,8,-4.942,1,0.0828,0.473,2.66e-06,0.178,0.735,120.008,6VPvz8SZWRFEoawyUTvQTt,254973,4,indie
1171,Magician's Success,Vanishing Twin,33,0.545,0.682,6,-8.929,1,0.0288,0.0304,0.12,0.386,0.696,106.555,3vSXiWYvRzOEmo1oVY3aRi,235968,4,indie
1172,Peaches,Miynt,37,0.447,0.68,7,-7.198,1,0.0302,0.0785,0.134,0.276,0.511,150.027,0cgX88UkEj9isJwyoUxyFX,255567,4,indie
1173,Gonna Lose Your Mind,Maybird,34,0.58,0.709,9,-6.312,1,0.0302,1.82e-05,0.78,0.178,0.728,120.002,4ALrc2WboQebImWGMtNVrw,216392,4,indie
1174,Timeshare (Wizaard Remix),Spaceface,37,0.529,0.762,0,-6.348,1,0.0541,0.568,0.00148,0.802,0.629,92.071,6fxrvqES5ClwyeGl2cOiCL,244000,4,indie
1175,Broken Boy (feat. Iggy Pop),Cage The Elephant,57,0.492,0.939,6,-3.501,0,0.118,0.00247,0.0021,0.131,0.484,166.03,1j717HdHFPFwbBEAk2kwJQ,163208,4,indie
1176,The Conservation of Energy,Vanishing Twin,47,0.468,0.636,7,-6.423,1,0.026,0.0478,0.623,0.134,0.263,92.053,3ItCDZEok1K8DtZi51CWYr,253467,4,indie
1177,Waiting Around For Grace,Pond,50,0.298,0.879,1,-5.084,0,0.0721,0.000284,2.33e-05,0.174,0.382,122.315,1S7rX5dnPYrlMCJ3DBvlJn,309524,4,indie
1178,Holy Horses,Temples,3,0.507,0.782,9,-5.47,1,0.0337,0.00119,0.0119,0.284,0.535,102.0,0atPVK6261u8TWcLYeCDum,185427,4,indie
1179,Rio Grande,Wand,36,0.51,0.573,4,-7.852,0,0.0277,0.0249,0.0184,0.151,0.444,113.969,4HtSqLsExcCHAp9Xfq9Ibo,224296,4,indie
1180,Catamaran,Allah-Las,52,0.564,0.846,4,-5.897,0,0.0437,0.00692,0.00175,0.0452,0.696,122.035,6RJ4x0nkKtUPNC5mOfiJYT,212986,4,indie
1181,Taste,Ty Segall,34,0.323,0.887,6,-7.942,1,0.171,0.0019,0.000304,0.222,0.27,111.593,6kcRaRTILeTqwZGnsDLjsy,216467,4,indie
1182,Ffunny Ffrends,Unknown Mortal Orchestra,0,0.69,0.897,11,-4.688,1,0.0779,0.203,0.89,0.0814,0.623,90.987,11Z8WMf8jQWN9vsUDw3vNf,256840,4,indie
1183,Lost Heads,Moon Duo,15,0.612,0.874,9,-6.513,1,0.0335,0.322,0.847,0.147,0.823,109.983,65WW5niUsJTP1fJuX5siUL,386967,4,indie
1184,Won't You Be My Neighbor?,Okey Dokey,35,0.294,0.486,0,-7.87,1,0.0465,0.612,3.61e-05,0.457,0.207,81.877,7IEmcrgqtcB20yTzoSs0tX,154505,4,indie
1185,L.A.X.,Das Kope,41,0.624,0.617,11,-7.545,0,0.0458,0.346,0.00826,0.291,0.731,120.04,0TVT444yn5d1J4m3KJfGeR,250500,4,indie
1186,Read My Mind,Rolling Blackouts Coastal Fever,0,0.44,0.763,2,-5.34,1,0.0431,0.0381,0.000298,0.358,0.566,123.051,58If4g2zKueffK6k0vso4e,263668,4,indie
1187,Echo Park,Reptaliens,37,0.794,0.482,2,-14.01,0,0.033,0.799,0.881,0.104,0.94,129.99,3vEIzJE4xGmfmufxa5QVGr,195195,4,indie
1188,Sleep Easy,Sam Evian,40,0.693,0.767,5,-6.902,1,0.0233,0.0339,0.678,0.198,0.906,105.054,3BNOUOBJVZJQM9O4ddbgR2,259140,4,indie
1189,Moon Eclipsed the Sun,Evolfo,40,0.604,0.672,3,-6.135,0,0.0269,0.000462,0.221,0.107,0.612,103.621,1XgQxmwyToV97C7u5RTWRf,227960,4,indie
1190,Meet You in the Dark,Das Kope,41,0.505,0.389,9,-12.251,1,0.0263,0.327,0.434,0.114,0.238,160.054,5QOmCG8ujCRA7lgDOFJXv6,175009,4,indie
1191,Scarecrow,Wand,33,0.633,0.886,1,-6.686,1,0.06,0.236,0.479,0.11,0.358,108.016,2XhDgAUM1rS7vjsfxZuVOy,317507,4,indie
1192,Glo Ride,Hot Flash Heat Wave,0,0.514,0.661,3,-4.842,0,0.0279,0.000469,0.0569,0.31,0.28,75.034,207ELWK7KG6KDoF3iZrMyf,206046,4,indie
1193,The Best of It (feat. La Roux),Whyte Horses,0,0.535,0.838,4,-6.574,0,0.0388,0.00376,1.5e-05,0.135,0.567,99.929,0p5BWstYrO0VNHXwgJohJB,149853,4,indie
1194,IDGAF,Sam Evian,0,0.642,0.89,3,-8.108,1,0.0285,0.386,0.855,0.126,0.96,115.192,6UtMa53IrX3wYcRaecUN5t,196578,4,indie
1195,Love Will Let You Down,Lounge FM,36,0.594,0.548,5,-6.193,1,0.0255,0.494,0.304,0.148,0.248,117.007,6mPfje0IYksk2ADSKnzt5H,265250,4,indie
1196,Quiero,Divino Niño,42,0.638,0.471,4,-11.995,0,0.063,0.0905,1.2e-06,0.0923,0.688,125.599,6tBhtdAEIGEacpqUZTk72s,191630,4,indie
1197,Sensitivity,Worn-Tin,54,0.705,0.529,4,-6.585,1,0.029,0.0358,0.00338,0.42,0.931,110.207,1F9WFVKQ0PT4EiZNoZQu2d,237742,4,indie
1198,Escapade,Noir Disco,37,0.458,0.701,0,-9.188,1,0.0326,0.265,0.0431,0.282,0.453,138.851,1CGFnr9tRbnHQh1ZrQk620,350500,4,indie
1199,You Ain't a Star,Psychic Temple,0,0.448,0.595,11,-7.73,0,0.0298,0.105,0.25,0.2,0.772,167.371,6QefRMFNbzTue9l66rEdNn,189893,4,indie
1200,Cowboy Lightning,Spaceface,32,0.434,0.818,9,-5.792,1,0.0451,0.118,0.0517,0.105,0.487,101.854,0rt3sWILxbL2k7OtUS65UA,153573,4,indie
1201,Flowers,Palmas,37,0.495,0.531,10,-9.502,1,0.0299,0.347,0.379,0.109,0.36,119.94,7GCAFTkh9STbECbY0fsgtj,198475,4,indie
1202,Le Mans,Orions Belte,37,0.336,0.8,3,-7.196,1,0.0414,0.219,0.892,0.162,0.521,168.993,6q97moc6aGXzCkSKbfxEYB,182000,4,indie
1203,Palace,Bus Vipers,0,0.688,0.731,1,-6.94,1,0.213,0.0807,0.101,0.291,0.624,149.969,7LS6Fl4y4M4paek8v5XQZ8,128508,4,indie
1204,Canyons Sunrise Reprise,Tame Impala,0,0.612,0.469,1,-9.541,1,0.0283,0.0974,0.0258,0.0726,0.055,102.475,5taV22lZRI4TXzJM4y7Mxa,465777,3,indie
1205,Wonder,Wand,35,0.31,0.725,2,-7.685,1,0.0485,0.0294,0.874,0.0756,0.088,113.217,42hEVvUMjG0DLPHEfsByso,382797,4,indie
1206,Ready for the Summer,Das Kope,42,0.494,0.498,1,-10.032,0,0.0519,0.437,0.494,0.858,0.39,126.164,7rLQc7Bd6zsxPO80cTKXey,204762,4,indie
1207,No Nee Ta Slode Aln,White Denim,36,0.35,0.782,11,-6.944,0,0.161,0.000711,0.000981,0.128,0.568,164.661,0XUkl3jNKrJgZh6fTxYe01,241827,4,indie
1208,Crystalline,Sugar Candy Mountain,34,0.749,0.79,10,-9.328,1,0.0565,0.057,0.608,0.318,0.706,94.729,7fqjVY7DlXvxCTXEm7BXrq,269362,4,indie
1209,Real Love Baby,Father John Misty,66,0.417,0.687,7,-6.484,1,0.0372,0.0955,0.0278,0.0989,0.627,204.11,6YDf6QV7QfCEo8O2dbWalK,189293,4,indie
1210,Kingston,Faye Webster,63,0.73,0.344,10,-9.541,0,0.0394,0.138,0.00128,0.134,0.543,142.129,0EDQwboQDmswDRn58wcslg,202160,4,indie
1211,Tenderness,Jay Som,38,0.543,0.498,9,-10.152,1,0.0678,0.692,0.433,0.078,0.815,113.394,0l4cR2AZ18MktMd0BU3zwh,241097,4,indie
1212,Your Dog,Soccer Mommy,0,0.652,0.669,11,-7.797,0,0.0262,0.122,0.00039,0.169,0.769,115.047,1BSTxGkSTTLwEpbuusHRzH,194009,4,indie
1213,Still Beating,Mac DeMarco,67,0.709,0.496,1,-10.528,0,0.0417,0.581,0.195,0.151,0.469,78.477,2N4idqj9TT3HnH2OFT9j0v,181587,4,indie
1214,Where'd All the Time Go?,Dr. Dog,65,0.454,0.82,2,-4.193,1,0.0567,0.132,0.000969,0.115,0.575,166.303,0UV5zxRMz6AO4ZwUOZNIKI,234800,4,indie
1215,Dark Days,Local Natives,63,0.604,0.655,9,-7.088,1,0.0273,0.109,0.0019,0.125,0.59,115.038,7LZN7FkxHZk6maiN6NdI2i,180413,4,indie
1216,Hunnybee,Unknown Mortal Orchestra,69,0.956,0.373,6,-7.963,1,0.0773,0.569,0.394,0.314,0.568,119.994,3DPFmwFtV5ElQaTniLOdgk,268333,4,indie
1217,Goodpain,Yoke Lore,48,0.664,0.666,0,-5.116,1,0.0275,0.00343,0.000104,0.068,0.364,96.992,5sn9PhscWVvZF65yvltalv,261986,4,indie
1218,All The Time,Bahamas,3,0.711,0.468,4,-4.797,0,0.0515,0.63,0.00427,0.087,0.533,127.458,40WXqoyOLAAugGmJWZU1FY,234973,4,indie
1219,Heat Wave,Snail Mail,58,0.504,0.682,9,-5.702,1,0.0332,0.0002,0.00205,0.147,0.207,123.848,43E0f1S0rOGCo6YYRYHjHP,308347,4,indie
1220,California,The Lagoons,60,0.786,0.686,4,-7.18,1,0.0289,0.276,0.668,0.0416,0.542,119.997,35QAUfIbfIXT3p3cWhaKxZ,261773,4,indie
1221,The Light,Metronomy,56,0.846,0.363,2,-11.565,1,0.115,0.0581,0.0988,0.105,0.572,96.005,64R2n9O7Aif7YP3ivkOWYS,272973,4,indie
1222,Different Now,Chastity Belt,0,0.648,0.681,5,-7.47,1,0.0295,0.103,0.00102,0.103,0.364,124.795,3FRXQfVBPe9UGyS12p3bx7,228800,4,indie
1223,Clueless,The Marías,59,0.829,0.23,2,-16.559,1,0.0418,0.653,0.188,0.258,0.516,94.014,7mrEpwmQJ7qK1ik7ZjjcdD,227234,4,indie
1224,Fallingwater,Maggie Rogers,68,0.389,0.322,2,-8.933,1,0.0355,0.613,0.000534,0.093,0.453,86.929,2CPLGREl5ahzA2WPBMkpxh,271200,4,indie
1225,Turn The Light,Karen O,52,0.752,0.462,4,-10.538,0,0.0519,0.0454,0.000954,0.091,0.845,101.999,6vw4YLRXNvtFxA2yxVrR6H,199320,4,indie
1226,Nobody,Mac DeMarco,59,0.877,0.178,3,-13.987,1,0.102,0.776,0.0193,0.107,0.442,74.997,42EMSKPgulAzr4RLY65Eut,212460,4,indie
1227,Roddy,Djo,50,0.559,0.521,0,-9.161,1,0.0279,0.112,0.0243,0.0686,0.677,179.991,1hCOjy8lilEMrFGR0F9mgJ,252987,4,indie
1228,Chicago,Sufjan Stevens,1,0.579,0.463,7,-9.657,1,0.0303,0.585,0.0,0.0892,0.447,124.977,6WzAjOZfTwFBtyX7apVMUN,364613,4,indie
1229,No Going Back,Yuno,1,0.714,0.713,2,-5.52,0,0.027,0.0114,0.0183,0.0608,0.9,93.006,4AKN68fSI8weZ1dbN35QLi,208200,4,indie
1230,Answer,Phantogram,55,0.362,0.371,11,-8.383,0,0.0324,0.129,0.0441,0.121,0.107,148.376,09eSdS5RTgyodJt3krr5AC,231600,5,indie
1231,The Start Of Something,Voxtrot,55,0.632,0.733,8,-6.924,1,0.0293,0.179,1.04e-05,0.0988,0.707,107.056,6K5GAopLZzzg0ZX8k5GWwh,271747,4,indie
1232,Compromised,Tim Atlas,49,0.957,0.427,11,-7.97,0,0.0539,0.162,0.00689,0.0659,0.961,108.973,0TLHUakjgTs8KaSoCm0e8v,226235,4,indie
1233,Sedona,Houndmouth,66,0.396,0.677,3,-7.513,1,0.0354,0.0372,0.000137,0.112,0.249,135.177,2kG5litgxXvx6ZRgwO1v7W,239880,4,indie
1234,The Breeze,Dr. Dog,58,0.611,0.538,9,-7.74,1,0.0343,0.76,2.68e-05,0.612,0.319,90.124,2NVaKeIAUZwN5tXnn12EMi,239093,4,indie
